키워드,네이버검색량,PC,모바일,경쟁정도,추이지수,추이,월별추이
헬스 슬리퍼,35,5,30,중간,0.4,급하락,0.8|0.3|0.3|2.6|0.9|0.4|0.3|0.4
요가 구두,10,5,5,낮음,,,
요가 남성골프화,10,5,5,낮음,,,
결혼식 하객 로퍼,10,5,5,높음,,,
러닝 운동화,830,170,660,높음,45.3,하락,42.2|60.2|61.9|85.6|100|62.0|39.4|34.8|42.9|34.8|43.9|43.5|45.3
면접 뮬,10,5,5,낮음,,,
골프 골프그립,10,5,5,낮음,,,
결혼식 하객 케이스,10,5,5,낮음,,,
결혼식 하객 여성가방,10,5,5,높음,,,
요가 로퍼,10,5,5,낮음,,,
결혼 캐리어,10,5,5,낮음,,,
장례식 블라우스,45,5,40,높음,2.4,유지,2.4
하객 샌들,160,20,140,중간,18.1,급하락,32.7|66.1|43.7|45.3|6.3|18.1
결혼식 하객 반팔블라우스,10,5,5,낮음,,,
비치 슬리퍼,190,30,160,높음,74.8,급하락,37.0|87.8|100|40.6|9.8|9.4|20.9|27.6|24.0|21.7|17.3|74.8
비치 캐리어,10,5,5,낮음,,,
장례식 런닝화,10,5,5,낮음,,,
등산 아쿠아슈즈,50,10,40,높음,100,유지,25|100
골프 웨지샌들,10,5,5,낮음,,,
결혼식 하객 반팔셔츠,10,5,5,높음,,,
장례식 레인부츠,10,5,5,낮음,,,
요가 반팔블라우스,10,5,5,낮음,,,
골프 여성골프화,10,5,5,낮음,,,
요가 반팔셔츠,10,5,5,낮음,,,
헬스 샌들,10,5,5,높음,,,
요가 드라이버,10,5,5,낮음,,,
면접 슬리퍼,20,10,10,높음,,,
면접 캐리어,10,5,5,중간,,,
오피스 아쿠아슈즈,10,5,5,낮음,,,
러닝 블라우스,10,5,5,낮음,,,
60대 여성 원피스,480,30,450,높음,100,급상승,28.0|24.1|49.2|30.2|11.6|2.6|5.3|1.3|2.9|5.3|39.9|44.4|100
결혼식 하객 슬랙스,10,5,5,높음,,,
장례식 앞치마,10,5,5,낮음,,,
러닝 런닝화,10,5,5,높음,,,
오피스 운동화,15,5,10,높음,1.3,유지,1.3
요가 슬랙스,10,5,5,높음,,,
러닝 레인부츠,10,5,5,낮음,,,
휴양지 뮬,10,5,5,낮음,,,
골프 골프우산,10,5,5,낮음,,,
60대 여성 뮬,10,5,5,낮음,,,
장례식 바람막이,15,5,10,높음,85.7,유지,71.4|71.4|85.7
하객 아쿠아슈즈,10,5,5,낮음,,,
하객 백팩,10,5,5,높음,,,
부모님 캐리어,10,5,5,낮음,85.7,유지,100|85.7
스트릿 뮬,10,5,5,낮음,,,
요가 골프그립,10,5,5,낮음,,,
50대 엄마 원피스,45,5,40,높음,12.1,급하락,27.6|15.5|46.6|19.0|25.9|12.1
하객 에코백,10,5,5,낮음,,,
등산 블라우스,10,5,5,낮음,,,
하객 운동화,55,5,50,높음,43.1,하락,19.0|29.3|100|60.3|67.2|50|8.6|8.6|43.1|36.2|43.1
하객 크로스백,15,5,10,낮음,,,
헬스 아쿠아슈즈,10,5,5,높음,,,
러닝 앞치마,10,5,5,낮음,,,
등산 런닝화,15,5,10,높음,1.2,급하락,5.6|2.3|0.2|0.2|0.5|1.3|0.7|0.7|0.3|0.5|1.2
휴양지 슬리퍼,60,10,50,높음,0.5,급하락,8.0|5.7|100|4.0|2.9|2.6|6.8|5.2|8.0|3.7|3.4|0.3|0.5
휴양지 캐리어,10,5,5,낮음,,,
장례식 기내용캐리어,10,5,5,낮음,,,
등산 레인부츠,15,5,10,높음,,,
60대 여성 슬리퍼,15,5,10,낮음,100,유지,100
60대 여성 캐리어,10,5,5,낮음,,,
요가 웨지샌들,10,5,5,낮음,,,
50대 엄마 뮬,10,5,5,낮음,,,
골프 웨지힐,10,5,5,높음,,,
요가 퍼터,10,5,5,낮음,,,
러닝 바람막이,1840,350,1490,높음,16.9,급상승,23.9|12.6|7.2|16.2|64.0|100|51.8|30.5|25.6|29.7|45.3|31.4|16.9
장례식 슬링백,10,5,5,중간,,,
요가 여성골프화,10,5,5,낮음,,,
결혼 백팩,10,5,5,낮음,,,
오피스 런닝화,10,5,5,낮음,,,
스트릿 슬리퍼,10,5,5,낮음,,,
공항 원피스,25,5,20,높음,4.4,유지,4.1|3.8|4.4
오피스 레인부츠,10,5,5,높음,,,
비치 아쿠아슈즈,10,5,5,높음,1.3,유지,1.3
비치 백팩,110,10,100,높음,2.8,급하락,11.5|33.8|100|54.6|7.9|3.1|1.3|1.3|1.3|1.5|2.8
결혼 에코백,10,5,5,낮음,,,
친구 생일 캐리어,10,5,5,낮음,,,
결혼 크로스백,10,5,5,낮음,,,
장례식 장화,10,5,5,높음,8.3,유지,8.3
등산 앞치마,10,5,5,높음,8.3,유지,8.3|8.3
비치 에코백,45,5,40,높음,10,급하락,41.7|63.3|100|18.3|13.3|10
장례식 구명조끼,10,5,5,낮음,,,
50대 엄마 슬리퍼,10,5,5,낮음,,,
50대 엄마 캐리어,10,5,5,낮음,100,유지,100
공항 뮬,10,5,5,낮음,,,
면접 아쿠아슈즈,10,5,5,낮음,,,
