키워드,검색량,네이버검색량,추이,난이도,섹션,패션,LF몰,W컨셉,한섬,SSF샵,SI빌리지,Status,순위,우선순위
시계 스트랩,390,1610,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,24,24순위
귀걸이,6600,51700,유지,,주얼리/시계,Y,0,0,0,0,0,미수집,4,4순위
피어싱,9900,36730,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,7,7순위
귀찌,1900,7910,유지,,주얼리/시계,Y,0,0,0,0,0,미수집,13,13순위
목걸이,12100,64000,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,2,2순위
팬던트,3600,5320,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,15,15순위
반지,12100,41850,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,6,6순위
팔찌,8100,61100,급하락,,주얼리/시계,Y,0,0,0,0,0,미수집,3,3순위
발찌,1000,9060,급하락,,주얼리/시계,Y,0,0,0,0,0,미수집,12,12순위
주얼리세트,0,170,급상승,,주얼리/시계,Y,0,0,0,0,0,미수집,26,26순위
브로치,3600,5250,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,17,17순위
배치,1300,3010,급하락,,기타,N,0,0,0,0,0,미수집,0,
헤어액세서리,0,230,급하락,,액세서리,Y,0,0,0,0,0,미수집,41,41순위
기타주얼리,0,10,,,주얼리/시계,Y,0,0,0,0,0,미수집,33,33순위
주얼리보관함,0,1910,하락,,주얼리/시계,Y,0,0,0,0,0,미수집,23,23순위
돌선물,0,7210,급하락,,기타,N,0,0,0,0,0,미수집,0,
돌반지,0,50140,급하락,,주얼리/시계,Y,0,0,0,0,0,미수집,5,5순위
실버바,0,16120,급상승,,주얼리/시계,Y,0,0,0,0,0,미수집,9,9순위
슬라이드,6600,4650,급하락,,신발,Y,0,0,0,0,0,미수집,25,25순위
플립플랍,0,13420,급하락,,신발,Y,0,0,0,0,0,미수집,17,17순위
플랫슈즈,0,25080,급상승,,신발,Y,0,0,0,0,0,미수집,13,13순위
로퍼,12100,19900,급상승,20,신발,Y,0,19,0,0,0,Missing,5,5순위
스니커즈,14800,31230,하락,23,신발,Y,0,55,0,0,0,Missing,4,4순위
슬립온,2400,12840,하락,,신발,Y,0,0,0,0,0,미수집,18,18순위
운동화,14800,70900,유지,,신발,Y,0,0,0,0,0,미수집,7,7순위
등산화,3600,40200,상승,,캠핑/등산,N,0,0,0,0,0,미수집,0,
골프화,1600,25790,급하락,,골프,Y,0,0,0,0,0,미수집,5,5순위
앵클,260,780,유지,,신발,Y,0,0,0,0,0,미수집,36,36순위
숏 부츠,170,220,하락,,신발,Y,0,0,0,0,0,미수집,39,39순위
미들,480,1720,급하락,,신발,Y,0,0,0,0,0,미수집,33,33순위
하프 부츠,20,45,급상승,,신발,Y,0,0,0,0,0,미수집,43,43순위
롱 부츠,2400,2130,급상승,,신발,Y,0,0,0,0,0,미수집,32,32순위
레인 부츠,2900,53380,급하락,,신발,Y,0,0,0,0,0,미수집,9,9순위
방한 부츠,260,220,급상승,,신발,Y,0,0,0,0,0,미수집,40,40순위
워커,8100,11770,하락,,신발,Y,0,0,0,0,0,미수집,19,19순위
뮬,110000,141100,하락,,신발,Y,0,0,0,0,0,미수집,2,2순위
클로그,0,10780,급하락,,신발,Y,0,0,0,0,0,미수집,21,21순위
정장구두,0,2250,유지,,신발,Y,0,0,0,0,0,미수집,30,30순위
부츠,12100,5260,급하락,26,신발,Y,0,3,0,48,0,Missing,14,14순위
레인부츠,0,53380,급하락,,신발,Y,0,0,0,0,0,미수집,10,10순위
슬리퍼,12100,122200,급하락,,신발,Y,0,0,0,0,0,미수집,3,3순위
샌들,6600,99900,급하락,21,신발,Y,30,11,0,0,0,Weak,1,1순위
아동화,30,290,상승,,유아동,N,0,0,0,0,0,미수집,0,
